otvoritev,barva,stevilo_iger,eco,datum,performance_rating,povprecen_rating,zmaga,remi,poraz,poteze
"Alekhine Defense, Balogh Variation",white,829,B03,2022-05-29,2233,2203,41.5,23.4,35.1,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Bc4
"Alekhine Defense, Brooklyn Variation",black,314,B02,2022-07-15,2151,2199,30.6,22.9,46.5,1.e4 Nf6 2.e5 Ng8
"Alekhine Defense, Exchange Variation",white,8167,B03,2022-07-30,2226,2177,41.1,26.1,32.8,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.exd6
"Alekhine Defense, Four Pawns Attack",white,1091,B03,2022-07-16,2177,2121,40.3,21.2,38.5,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4
"Alekhine Defense, Four Pawns Attack, Fianchetto Variation",black,347,B03,2022-05-20,2123,2182,38.6,20.5,40.9,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4 g6
"Alekhine Defense, Four Pawns Attack, Main Line",white,1406,B03,2022-07-24,2238,2181,41.8,25.0,33.1,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4 dxe5 6.fxe5 Nc6 7.Be3
"Alekhine Defense, Four Pawns Attack, Trifunovic Variation",black,377,B03,2022-06-30,2210,2269,36.3,23.6,40.0,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4 Bf5
"Alekhine Defense, General",black,669,B02,2022-07-24,1986,2029,42.8,22.6,34.7,1.e4 Nf6
"Alekhine Defense, Hunt Variation, Lasker Simul Gambit",white,366,B02,2022-07-09,2199,2174,35.3,22.7,42.1,1.e4 Nf6 2.e5 Nd5 3.c4 Nb6 4.c5 Nd5 5.Nc3 e6 6.Bc4
"Alekhine Defense, Maroczy Variation",white,1146,B02,2022-07-24,2137,2135,36.9,23.5,39.6,1.e4 Nf6 2.d3
"Alekhine Defense, Modern Variation",white,556,B04,2022-06-23,2397,2326,45.3,30.6,24.1,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3
"Alekhine Defense, Modern Variation, Alburt Variation",black,3133,B04,2022-07-12,2240,2277,29.7,28.5,41.8,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 g6
"Alekhine Defense, Modern Variation, Alekhine Gambit",white,136,B04,2022-05-13,2088,2064,37.5,22.1,40.4,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Bg4 5.c4 Nb6 6.Be2
"Alekhine Defense, Modern Variation, Keres Variation",white,293,B04,2022-02-22,2439,2376,46.4,36.2,17.4,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 g6 5.Bc4 Nb6 6.Bb3 Bg7 7.a4
"Alekhine Defense, Modern Variation, Larsen Variation",black,1399,B04,2022-07-08,2245,2279,25.1,33.4,41.5,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 dxe5
"Alekhine Defense, Modern Variation, Larsen Variation, Miles Line",black,1980,B04,2022-07-27,2274,2304,27.3,33.1,39.6,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 dxe5 5.Nxe5 c6
"Alekhine Defense, Modern Variation, Larsen-Haakert Variation",black,797,B04,2022-06-04,2156,2176,32.8,20.9,46.3,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Nc6
"Alekhine Defense, Modern Variation, Main Line",black,5607,B05,2022-07-13,2198,2260,25.6,28.9,45.5,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Bg4
